,id,trait,sample_size,nsnp,year,consortium,author,note,group_name,mr,sex,pmid,priority,population,unit,build,category,subcategory,ontology,ncase,ncontrol,sd
14,ieu-a-1049,Iron,23986,2096457,2014,GIS,Benyamin,Effect allele frequencies are missing,public,1,Males and Females,25352340,1,European,SD,HG19/GRCh37,Risk factor,Metal,NA,NA,NA,NA
34,ukb-b-3560,Operative procedures - secondary OPCS: Z29.1 Rectum,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Z291: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,8626,454384,NA
41,ukb-b-10880,Diagnoses - secondary ICD10: Z87.4 Personal history of diseases of the genito-urinary system,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#Z874: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4538,458472,NA
42,ukb-d-20429,Easily tired during worst period of anxiety,34121,13541412,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,24544,9577,NA
43,ebi-a-GCST006942,Feeling lonely,376352,10824519,2018,NA,Nagel M,NA,public,1,NA,29500382,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
45,ukb-b-9099,3mm cylindrical power (right),96007,9851867,2018,MRC-IEU,Ben Elsworth,5116: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
49,ukb-d-20455_irnt,Age when last took cannabis,25698,13529017,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
57,ukb-b-17961,Diagnoses - main ICD10: K58.9 Irritable bowel syndrome without diarrhoea,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#K589: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1047,461963,NA
67,ukb-b-13344,Herbal tea intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,100430: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
71,ukb-b-12729,Operation code: nephrectomy/kidney removed,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1487: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1638,461295,NA
74,ukb-d-1150_3,Usual side of head for mobile phone use: Equally left and right,303009,13585048,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,19852,283157,NA
78,ukb-d-1747_3,"Hair colour (natural, before greying): Light brown",360270,13586531,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,147560,212710,NA
89,bbj-a-129,Ischemic stroke,210054,8885705,2019,NA,Ishigaki K,NA,public,1,Males and Females,NA,0,East Asian,NA,HG19/GRCh37,Binary,NA,NA,17671,192383,NA
90,ukb-b-2346,Duration of moderate activity,343827,9851867,2018,MRC-IEU,Ben Elsworth,894: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
91,met-d-XS_VLDL_FC_pct,Free cholesterol to total lipids ratio in very small VLDL,115053,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
103,ukb-b-3027,Diagnoses - secondary ICD10: K31.7 Polyp of stomach and duodenum,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#K317: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1233,461777,NA
113,ukb-a-565,Diagnoses - main ICD10: M21 Other acquired deformities of limbs,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,379,336820,NA
149,ebi-a-GCST009980,Major depressive disorder in trauma exposed individuals,24094,7767934,2020,NA,Coleman JRI,beta+se converted from OR+CI; ,public,1,NA,31969693,0,European,NA,HG19/GRCh37,NA,NA,NA,13393,10701,NA
150,ukb-d-H00,Diagnoses - main ICD10: H00 Hordeolum and chalazion,361194,9969307,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1467,359727,NA
151,ukb-b-4770,"Diagnoses - main ICD10: K02.9 Dental caries, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#K029: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1997,461013,NA
153,ukb-a-132,Treatment/medication code: aspirin,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,45012,292147,NA
154,ukb-b-16559,Operative procedures - secondary OPCS: Y84.1 Gas and air analgesia in labour,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Y841: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1353,461657,NA
158,ukb-b-18820,"Main speciality of consultant (recoded): Ear, nose and throat (ENT)",461270,9851867,2018,MRC-IEU,Ben Elsworth,41245#1240: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,21341,439929,NA
161,ukb-b-4482,3mm regularity index (left),94021,9851867,2018,MRC-IEU,Ben Elsworth,5163: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
171,ukb-a-416,Illness  injury  bereavement  stress in last 2 years: Death of a close relative,335219,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,69921,265298,NA
174,ukb-b-14108,Type of special diet followed: Other,64949,9851867,2018,MRC-IEU,Ben Elsworth,20086#13: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2215,62734,NA
177,ukb-b-11709,Diagnoses - secondary ICD10: Z85.4 Personal history of malignant neoplasm of genital organs,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#Z854: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2692,460318,NA
182,ebi-a-GCST009760,Snoring,408317,10707662,2020,NA,Campos AI,NA,public,1,NA,32060260,0,European,NA,HG19/GRCh37,NA,NA,NA,152302,256015,NA
186,ukb-b-16440,Operation code: testicular hydrocoele surgery / drainage,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1489: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1405,461528,NA
193,ukb-b-1390,PCT responsible for patient data: BRISTOL PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41229#5QJ: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,6339,456671,NA
194,ieu-b-15,"focal epilepsy, documented lesion other than hippocampal sclerosis",32747,4987264,2018,The International League Against Epilepsy Consortium on Complex Epilepsies',Abou-Khalil B,NA,public,1,Males and Females,30531953,1,Mixed,NA,HG19/GRCh37,Binary,Psychiatric / neurological,NA,3070,29677,NA
205,ukb-b-13864,Operative procedures - secondary OPCS: Z27.6 Ileum,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Z276: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4720,458290,NA
213,ukb-b-16872,Round of numeric memory test,48080,9851867,2018,MRC-IEU,Ben Elsworth,4260: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
230,ukb-b-16993,Operation code: unclassifiable,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#99999: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,9549,453384,NA
258,ukb-b-19431,PCT where patients GP was registered: GREATER DERBY PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5EX: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1248,461762,NA
262,ukb-a-588,Diagnoses - main ICD10: R69 Unknown and unspecified causes of morbidity,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,6717,330482,NA
265,ukb-b-4930,Operative procedures - main OPCS: Q11.1 Vacuum aspiration of products of conception from uterus NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#Q111: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1492,461518,NA
266,ukb-b-2205,Diagnoses - secondary ICD10: Z82.4 Family history of ischaemic heart disease and other diseases of the circulatory system,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#Z824: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,9330,453680,NA
