"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered","selection","method2","MOE"
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Weighted median",23,0.000321390082979033,0.000520092812062906,-0.000697973097282422,0.00134075326324049,0.536609908290384,FALSE,TRUE,"HF","Weighted median - HF",0.88
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Simple mean",24,0.000397327778376524,0.000456464133127439,-0.000497341922553255,0.0012919974793063,0.393050765722804,FALSE,FALSE,"Tophits","Simple mean - Tophits",0.87
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","RE IVW",24,0.000453869661883031,0.000438375804893142,-0.000405346915707526,0.00131308623947359,0.311272130798717,FALSE,FALSE,"Tophits","RE IVW - Tophits",0.86
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","FE IVW",24,0.000453869661883031,0.000402647364908005,-0.000405346915707526,0.00131308623947359,0.259652101812207,FALSE,FALSE,"Tophits","FE IVW - Tophits",0.82
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Simple median",24,0.00022597773255814,0.000693049236763498,-0.00113237381101129,0.00158432927612757,0.744376669199249,FALSE,FALSE,"Tophits","Simple median - Tophits",0.81
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Penalised median",23,0.000321390082979033,0.000536009777914574,-0.000729169777094846,0.00137194994305291,0.548774563231316,FALSE,TRUE,"HF","Penalised median - HF",0.81
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Simple mean",23,0.000252485046537537,0.000416058364761696,-0.000562989348395386,0.00106795944147046,0.55016250068304,FALSE,TRUE,"HF","Simple mean - HF",0.8
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Weighted median",24,0.000337346480593749,0.000540344389373049,-0.000721709061825714,0.00139640202301321,0.532419066260149,TRUE,FALSE,"DF","Weighted median - DF",0.8
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Simple median",23,0.000162295,0.000745314157650266,-0.00129849390616233,0.00162308390616233,0.827620932552743,TRUE,TRUE,"DF + HF","Simple median - DF + HF",0.8
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Simple median",23,0.000162295,0.000725066381959751,-0.00125880899504187,0.00158339899504187,0.822885945493328,FALSE,TRUE,"HF","Simple median - HF",0.79
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Penalised median",23,0.000321390082979033,0.000529559560991412,-0.000716527584232977,0.00135930775019104,0.543916795101405,TRUE,TRUE,"DF + HF","Penalised median - DF + HF",0.79
